off;standby;human_pushbutton
all;off;human_pushbutton
standby;following,speedcontrol,hold;human_pushbutton
following,speedcontrol,hold;error;random,p_error
following,speedcontrol,hold;override;human_accel
following,speedcontrol,hold;standby;human_pushbutton
following,speedcontrol,hold;standby;human_decel
error;off;human_pushbutton
following;hold;machine_none
following;speedcontrol;machine_decel
speedcontrol;following;machine_decel
override;following,speedcontrol,hold;human_none
hold;following,speedcontrol;random,p_exit
hold;following,speedcontrol;human_pushbutton
